,R1,S1,P1,E1,R2,S2,P2,E2,R3,S3,P3,E3,R4,S4,P4,E4,R5,S5,P5,E5,R6,S6,P6,E6,R7,S7,P7,E7,R8,S8,P8,R9,S9,P9,R10,S10,P10,R11,S11,P11,R12,S12,R13,R14,R15,,,,
80,6,6,3,6,7,6,5,6,6,6,1,6,7,6,5,6,6,6,1,6,6,6,5,5,6,3,2,5,4,5,1,5,6,5,6,6,2,5,4,5,6,5,5,4,6,Setor privado,Não estou trabalhando,20,Sim
81,5,4,3,5,5,3,4,5,4,3,2,6,5,4,3,7,5,4,3,4,5,4,2,5,5,4,4,4,5,3,1,5,4,4,5,5,3,7,5,5,5,6,7,5,4,Setor privado,Não estou trabalhando,21,Sim
82,7,2,1,7,7,2,5,7,7,4,1,7,7,4,4,7,7,7,1,7,1,2,3,7,7,1,4,7,7,4,1,5,5,1,7,7,1,4,2,1,4,7,5,3,4,Setor público,Não estou trabalhando,19,Não
83,6,6,5,7,6,7,5,7,6,7,4,7,5,5,4,7,6,6,2,7,3,6,4,7,6,5,5,7,5,7,2,7,7,5,6,7,1,5,5,3,6,7,6,4,5,Setor privado,Privada,24,Não
84,7,7,5,6,6,6,5,6,5,4,2,7,6,6,3,6,6,5,5,6,5,5,4,7,6,5,5,6,7,5,1,5,5,4,6,6,5,6,4,6,7,7,7,6,5,Setor privado,Privada,26,Não
85,7,3,6,7,7,5,6,7,5,4,2,6,4,5,2,7,7,7,5,7,7,7,5,5,7,4,5,5,5,6,6,7,5,4,7,7,4,7,7,7,7,7,7,7,7,Ambos,Não estou trabalhando,19,Não
86,6,5,4,7,5,6,5,6,4,5,1,7,4,1,2,7,4,3,3,4,5,5,4,4,3,3,2,1,6,6,3,7,5,3,5,4,1,6,4,4,6,2,7,7,7,Ambos,Não estou trabalhando,18,Não
87,6,4,3,4,5,3,2,6,4,4,1,5,6,4,3,4,7,5,3,4,3,5,1,7,6,4,2,3,4,3,1,6,4,2,7,6,4,5,6,5,6,5,6,3,4,Setor privado,Não estou trabalhando,20,Não
88,7,7,7,7,7,7,5,6,7,7,5,6,7,6,6,6,7,5,3,6,6,6,6,6,7,6,5,4,4,6,1,7,7,6,7,5,4,5,7,6,7,5,6,5,7,Ambos,Não estou trabalhando,19,Sim
89,6,6,3,7,7,7,6,7,7,7,3,6,7,5,4,7,7,5,3,6,5,5,3,7,7,4,5,5,5,4,1,6,6,3,6,6,3,7,7,5,7,7,7,5,7,Setor privado,Privada,23,Não
90,7,5,2,7,6,5,4,7,6,4,2,7,6,5,5,7,6,5,2,6,4,5,4,7,7,4,3,5,6,3,1,6,4,3,7,6,4,6,4,5,7,6,6,4,6,Setor privado,Não estou trabalhando,19,Sim
91,6,4,4,6,5,2,6,7,5,3,5,7,7,6,5,4,5,3,2,6,5,5,3,4,4,3,5,6,6,2,1,5,4,6,5,5,3,4,6,2,3,5,5,2,5,Ambos,Não estou trabalhando,21,Não
92,4,3,3,5,5,4,4,6,5,3,1,7,5,5,4,7,5,4,1,7,5,5,2,7,4,5,5,3,4,2,1,5,2,3,3,5,1,5,2,5,5,7,7,7,7,Setor privado,Privada,20,Não
93,7,4,4,6,6,2,5,7,6,3,1,7,7,6,4,7,7,6,2,4,2,5,5,7,5,4,5,3,4,5,1,3,3,4,7,6,5,3,2,5,6,7,6,5,5,Ambos,Não estou trabalhando,20,Não
94,7,5,2,6,7,7,3,5,7,7,1,6,7,5,5,6,6,5,1,5,5,5,1,5,6,5,1,1,3,7,3,7,6,5,7,5,1,3,4,3,7,7,7,5,5,Ambos,Privada,25,Sim
